% U (Volt)	I (A)
-13.302500	-2.599554E-7
-13.294500	-1.542503E-7
-13.286500	-1.965091E-7
-13.278500	-2.472661E-7
-13.270500	-1.965091E-7
-13.262500	-2.176967E-7
-13.254500	-3.445894E-7
-13.246500	-3.402820E-7
-13.238500	-2.133893E-7
-13.230500	-3.402820E-7
-13.222500	-3.572786E-7
-13.214500	-4.544854E-7
-13.206500	-4.332978E-7
-13.198500	-4.967442E-7
-13.190500	-2.895249E-7
-13.182500	-2.176967E-7
-13.174500	-2.472661E-7
-13.166500	-1.372537E-7
-13.158500	-2.938323E-7
-13.150500	-2.007000E-7
-13.142500	-2.387678E-7
-13.134500	-2.641464E-7
-13.126500	-2.176967E-7
-13.118500	-3.445894E-7
-13.110500	-4.586764E-7
-13.102500	-3.741588E-7
-13.094500	-2.133893E-7
-13.086500	-3.783498E-7
-13.078500	-4.756730E-7
-13.070500	-3.487803E-7
-13.062500	-4.376052E-7
-13.054500	-3.107125E-7
-13.046500	-1.753215E-7
-13.038500	-1.669396E-7
-13.030500	-4.037283E-7
-13.022500	-2.557645E-7
-13.014500	-3.953464E-7
-13.006500	-6.406335E-7
-12.998500	-4.291069E-7
-12.990500	-2.514571E-7
-12.982500	-6.194459E-7
-12.974500	-1.753215E-7
-12.966500	-4.080357E-7
-12.958500	-2.895249E-7
-12.950500	-3.319001E-7
-12.942500	-3.192108E-7
-12.934500	-2.514571E-7
-12.926500	-2.514571E-7
-12.918500	-2.514571E-7
-12.910500	-2.599554E-7
-12.902500	-3.614696E-7
-12.894500	-2.133893E-7
-12.886500	-3.065215E-7
-12.878500	-5.137408E-7
-12.870500	-4.459871E-7
-12.862500	-4.629837E-7
-12.854500	-3.699679E-7
-12.846500	-4.249159E-7
-12.838500	-3.402820E-7
-12.830500	-3.868481E-7
-12.822500	-3.445894E-7
-12.814500	-2.260786E-7
-12.806500	-2.853340E-7
-12.798500	-4.854519E-8
-12.790500	-2.387678E-7
-12.782500	-2.387678E-7
-12.774500	-4.249159E-7
-12.766500	-2.895249E-7
-12.758500	-3.868481E-7
-12.750500	-4.417961E-7
-12.742500	-3.826572E-7
-12.734500	-5.728798E-7
-12.726500	-4.629837E-7
-12.718500	-5.348120E-7
-12.710500	-3.192108E-7
-12.702000	-2.472661E-7
-12.694000	-2.133893E-7
-12.686000	-1.753215E-7
-12.678000	-2.218876E-7
-12.670000	-1.711305E-7
-12.662000	-3.614696E-7
-12.654000	-2.895249E-7
-12.646000	-4.883623E-7
-12.638000	-4.164176E-7
-12.630000	-3.402820E-7
-12.622000	-3.656605E-7
-12.614000	-2.050074E-7
-12.606000	-4.586764E-7
-12.598000	-5.137408E-7
-12.590000	-3.360910E-7
-12.582000	-3.402820E-7
-12.574000	-8.661300E-8
-12.566000	-1.584413E-7
-12.558000	-1.711305E-7
-12.550000	-1.415610E-7
-12.542000	-2.684537E-7
-12.534000	-3.614696E-7
-12.526000	-3.445894E-7
-12.518000	-2.853340E-7
-12.510000	-3.192108E-7
-12.502000	-3.529713E-7
-12.494000	-2.050074E-7
-12.486000	-4.544854E-7
-12.478000	-3.445894E-7
-12.470000	-4.883623E-7
-12.462000	-3.995374E-7
-12.454000	-2.980232E-7
-12.446000	-2.218876E-7
-12.438000	-2.895249E-7
-12.430000	-3.572786E-7
-12.422000	-2.980232E-7
-12.414000	-3.614696E-7
-12.406000	-3.868481E-7
-12.398000	-3.234018E-7
-12.390000	-4.967442E-7
-12.382000	-2.430752E-7
-12.374000	-3.234018E-7
-12.366000	-4.417961E-7
-12.358000	-4.080357E-7
-12.350000	-3.107125E-7
-12.342000	-4.376052E-7
-12.334000	-3.826572E-7
-12.326000	-2.387678E-7
-12.318000	-1.626322E-7
-12.310000	-2.514571E-7
-12.302000	-2.050074E-7
-12.294000	-2.091983E-7
-12.286000	-2.768356E-7
-12.278000	-2.514571E-7
-12.270000	-3.656605E-7
-12.262000	-2.133893E-7
-12.254000	-4.586764E-7
-12.246000	-6.702030E-7
-12.238000	-3.953464E-7
-12.230000	-2.980232E-7
-12.222000	-2.980232E-7
-12.214000	-3.868481E-7
-12.206000	-1.965091E-7
-12.198000	-2.514571E-7
-12.190000	-2.430752E-7
-12.182000	-2.176967E-7
-12.174000	-3.154855E-8
-12.166000	-2.303859E-7
-12.158000	-4.544854E-7
-12.150000	-4.544854E-7
-12.142000	-4.376052E-7
-12.134000	-6.025657E-7
-12.126000	-4.332978E-7
-12.118000	-3.614696E-7
-12.110000	-3.234018E-7
-12.102000	-2.303859E-7
-12.094000	-2.895249E-7
-12.086000	-3.149034E-7
-12.078000	-1.923181E-7
-12.070000	-3.783498E-7
-12.062000	-1.626322E-7
-12.054000	-1.669396E-7
-12.046000	-4.122267E-7
-12.037500	-3.487803E-7
-12.029500	-3.192108E-7
-12.021500	-3.614696E-7
-12.013500	-3.614696E-7
-12.005500	-4.122267E-7
-11.997500	-1.796288E-7
-11.989500	-4.037283E-7
-11.981500	-6.406335E-7
-11.973500	-2.303859E-7
-11.965500	-2.472661E-7
-11.957500	-2.430752E-7
-11.949500	-1.542503E-7
-11.941500	-1.499429E-7
-11.933500	-2.430752E-7
-11.925500	-2.599554E-7
-11.917500	-3.275927E-7
-11.909500	-2.811430E-7
-11.901500	-1.457520E-7
-11.893500	-3.741588E-7
-11.885500	-4.164176E-7
-11.877500	-5.264301E-7
-11.869500	-3.445894E-7
-11.861500	-4.756730E-7
-11.853500	-1.542503E-7
-11.845500	-2.811430E-7
-11.837500	-3.402820E-7
-11.829500	-2.260786E-7
-11.821500	-3.529713E-7
-11.813500	-4.967442E-7
-11.805500	-2.387678E-7
-11.797500	-3.402820E-7
-11.789500	-6.961636E-8
-11.781500	-3.868481E-7
-11.773500	-3.783498E-7
-11.765500	-3.319001E-7
-11.757500	-4.037283E-7
-11.749500	-3.614696E-7
-11.741500	-2.768356E-7
