% Langmuir characteristic curve

% U (Volt)	I (A)
65.000000	-2.642628E-7
65.004997	-2.515735E-7
65.010002	-3.572786E-7
65.019997	-4.207250E-7
65.025002	-3.783498E-7
65.029999	-5.306210E-7
65.035004	-6.787013E-7
65.040001	-3.487803E-7
65.050003	-7.124618E-7
65.055000	-5.433103E-7
65.059998	-5.306210E-7
65.065002	-5.348120E-7
65.070000	-3.910391E-7
65.080002	-5.348120E-7
65.084999	-4.122267E-7
65.089996	-2.726447E-7
65.095001	-3.741588E-7
65.099998	-3.826572E-7
65.110001	-3.953464E-7
65.114998	-3.699679E-7
65.120003	-4.080357E-7
65.125000	-3.319001E-7
65.129997	-4.968606E-7
65.139999	-4.968606E-7
65.144997	-5.433103E-7
65.150002	-4.502945E-7
65.154999	-5.771872E-7
65.160004	-4.334142E-7
65.169998	-3.022142E-7
65.175003	-2.642628E-7
65.180000	-2.557645E-7
65.184998	-2.895249E-7
65.190002	-5.052425E-7
65.199997	-3.529713E-7
65.205002	-4.122267E-7
65.209999	-3.741588E-7
65.214996	-4.798640E-7
65.220001	-5.475013E-7
65.230003	-3.107125E-7
65.235001	-4.968606E-7
65.239998	-5.052425E-7
65.245003	-2.684537E-7
65.250000	-5.601905E-7
65.260002	-1.627486E-7
65.264999	-3.783498E-7
65.269997	-3.656605E-7
65.275002	-3.445894E-7
65.279999	-3.192108E-7
65.290001	-1.838198E-7
65.294998	-4.207250E-7
65.300003	-3.783498E-7
65.305000	-4.798640E-7
65.309998	-4.502945E-7
65.320000	-3.995374E-7
65.324997	-5.222391E-7
65.330002	-4.334142E-7
65.334999	-5.898764E-7
65.339996	-4.122267E-7
65.349998	-2.091983E-7
65.355003	-4.629837E-7
65.360001	-2.980232E-7
65.364998	-3.868481E-7
65.370003	-4.671747E-7
65.379997	-4.037283E-7
65.385002	-5.475013E-7
65.389999	-4.334142E-7
65.394997	-7.251510E-7
65.400002	-5.179318E-7
65.410004	-5.306210E-7
65.415001	-4.714821E-7
65.419998	-6.955815E-7
65.425003	-5.264301E-7
65.430000	-3.995374E-7
65.440002	-5.898764E-7
65.445000	-2.599554E-7
65.449997	-2.768356E-7
65.455002	-5.137408E-7
65.459999	-2.472661E-7
65.470001	-4.925532E-7
65.474998	-3.826572E-7
65.480003	-3.360910E-7
65.485001	-3.910391E-7
65.489998	-3.107125E-7
65.500000	-5.052425E-7
65.504997	-6.828923E-7
65.510002	-5.264301E-7
65.514999	-6.194459E-7
65.519997	-3.826572E-7
65.529999	-5.813781E-7
65.535004	-4.207250E-7
65.540001	-1.161825E-7
65.544998	-2.091983E-7
65.550003	-3.910391E-7
65.559998	-3.953464E-7
65.565002	-4.207250E-7
65.570000	-5.559996E-7
65.574997	-4.080357E-7
65.580002	-4.756730E-7
65.589996	-4.756730E-7
65.595001	-5.391194E-7
65.599998	-5.222391E-7
65.605003	-3.149034E-7
65.610001	-4.671747E-7
65.620003	-3.995374E-7
65.625000	-1.627486E-7
65.629997	-3.953464E-7
65.635002	-3.065215E-7
65.639999	-3.572786E-7
65.650002	-2.853340E-7
65.654999	-4.671747E-7
65.660004	-4.376052E-7
65.665001	-5.940674E-7
65.669998	-5.306210E-7
65.680000	-4.714821E-7
65.684998	-5.855691E-7
65.690002	-3.275927E-7
65.695000	-6.279442E-7
65.705002	-5.559996E-7
65.709999	-5.982583E-7
65.714996	-3.149034E-7
65.720001	-3.614696E-7
65.724998	-3.783498E-7
65.735001	-3.192108E-7
65.739998	-1.500593E-7
65.745003	-3.699679E-7
65.750000	-2.345769E-7
65.754997	-5.601905E-7
65.764999	-4.883623E-7
65.769997	-6.236369E-7
65.775002	-4.629837E-7
65.779999	-5.137408E-7
65.785004	-6.913906E-7
65.794998	-4.798640E-7
65.800003	-4.291069E-7
65.805000	-5.982583E-7
65.809998	-3.826572E-7
65.815002	-3.741588E-7
65.824997	-2.261950E-7
65.830002	-2.684537E-7
65.834999	-2.726447E-7
65.839996	-5.222391E-7
65.845001	-2.345769E-7
65.855003	-4.417961E-7
65.860001	-5.010515E-7
65.864998	-4.417961E-7
65.870003	-4.756730E-7
65.875000	-6.575137E-7
65.885002	-6.236369E-7
65.889999	-3.910391E-7
65.894997	-3.995374E-7
65.900002	-3.699679E-7
65.904999	-3.699679E-7
65.915001	-1.161825E-7
65.919998	-6.152550E-7
65.925003	-3.360910E-7
65.930000	-3.614696E-7
65.934998	-4.164176E-7
65.945000	-6.109476E-7
65.949997	-7.548369E-7
65.955002	-5.686888E-7
65.959999	-3.319001E-7
65.964996	-5.771872E-7
65.974998	-4.968606E-7
65.980003	-1.965091E-7
65.985001	-4.629837E-7
65.989998	-3.783498E-7
65.995003	-2.811430E-7
66.004997	-2.303859E-7
66.010002	-3.319001E-7
66.014999	-2.853340E-7
66.019997	-4.291069E-7
66.025002	-4.376052E-7
66.035004	-4.164176E-7
66.040001	-4.756730E-7
66.044998	-7.124618E-7
66.050003	-5.306210E-7
66.055000	-4.968606E-7
66.065002	-4.798640E-7
66.070000	-3.572786E-7
66.074997	-2.726447E-7
66.080002	-5.898764E-7
66.084999	-3.234018E-7
66.095001	-1.246808E-7
66.099998	-3.065215E-7
66.105003	-4.587928E-7
66.110001	-1.923181E-7
66.114998	-4.291069E-7
66.125000	-4.841713E-7
66.129997	-5.010515E-7
66.135002	-4.968606E-7
66.139999	-5.264301E-7
66.144997	-4.629837E-7
66.154999	-4.122267E-7
66.160004	-5.433103E-7
