% Langmuir characteristic curve

% U (Volt)	I (A)
65.000000	-2.514571E-7
65.004997	-3.952300E-7
65.010002	-2.471497E-7
65.019997	-3.317837E-7
65.025002	-1.668232E-7
65.029999	-3.740424E-7
65.035004	-4.121102E-7
65.040001	-6.235205E-7
65.050003	-6.405171E-7
65.055000	-4.797475E-7
65.059998	-3.149034E-7
65.065002	-4.079193E-7
65.070000	-3.698515E-7
65.080002	-4.121102E-7
65.084999	-4.459871E-7
65.089996	-3.486639E-7
65.095001	-2.260786E-7
65.099998	-2.302695E-7
65.110001	-2.302695E-7
65.114998	-3.867317E-7
65.120003	-3.910391E-7
65.125000	-4.628673E-7
65.129997	-4.416797E-7
65.139999	-4.206086E-7
65.144997	-5.221227E-7
65.150002	-5.390029E-7
65.154999	-5.897600E-7
65.160004	-2.217712E-7
65.169998	-3.317837E-7
65.175003	-2.979068E-7
65.180000	-2.937159E-7
65.184998	-3.317837E-7
65.190002	-3.529713E-7
65.199997	-3.571622E-7
65.205002	-4.882459E-7
65.209999	-4.206086E-7
65.214996	-4.416797E-7
65.220001	-2.979068E-7
65.230003	-5.094334E-7
65.235001	-6.151386E-7
65.239998	-4.206086E-7
65.245003	-4.206086E-7
65.250000	-3.994210E-7
65.260002	-4.289905E-7
65.264999	-2.768356E-7
65.269997	-2.471497E-7
65.275002	-2.852175E-7
65.279999	-4.247995E-7
65.290001	-2.725283E-7
65.294998	-2.979068E-7
65.300003	-3.656605E-7
65.305000	-3.486639E-7
65.309998	-4.374888E-7
65.320000	-5.094334E-7
65.324997	-4.882459E-7
65.330002	-4.206086E-7
65.334999	-6.108312E-7
65.339996	-3.698515E-7
65.349998	-3.190944E-7
65.355003	-3.064051E-7
65.360001	-3.064051E-7
65.364998	-3.486639E-7
65.370003	-2.598390E-7
65.379997	-2.683373E-7
65.385002	-3.529713E-7
65.389999	-1.965091E-7
65.394997	-4.501780E-7
65.400002	-6.278278E-7
65.410004	-4.882459E-7
65.415001	-5.051261E-7
65.419998	-5.812617E-7
65.425003	-5.390029E-7
65.430000	-5.475013E-7
65.440002	-3.613532E-7
65.445000	-3.022142E-7
65.449997	-4.332978E-7
65.455002	-1.160661E-7
65.459999	-2.598390E-7
65.470001	-2.344605E-7
65.474998	-2.937159E-7
65.480003	-4.628673E-7
65.485001	-3.486639E-7
