% Langmuir characteristic curve

% U (Volt)	I (A)
66.355003	-9.918585E-8
66.364998	-2.175802E-7
66.370003	-3.149034E-7
66.375000	-1.753215E-7
66.379997	-2.514571E-7
66.385002	-1.457520E-7
66.394997	-2.726447E-7
66.400002	-1.965091E-7
66.404999	-3.783498E-7
66.410004	-4.079193E-7
66.415001	-3.022142E-7
66.425003	-4.628673E-7
66.430000	-5.263137E-7
66.434998	-3.275927E-7
66.440002	-1.287553E-7
66.445000	-2.853340E-7
66.455002	-3.571622E-7
66.459999	-2.048910E-7
66.464996	-2.726447E-7
66.470001	-1.457520E-7
66.474998	-3.107125E-7
66.485001	-2.429588E-7
66.489998	-1.160661E-7
66.495003	-4.079193E-7
66.500000	-3.571622E-7
66.504997	-3.317837E-7
66.514999	-4.374888E-7
66.519997	-2.980232E-7
66.525002	-3.402820E-7
66.529999	-3.149034E-7
66.535004	-3.149034E-7
66.544998	-1.795124E-7
66.550003	-1.330627E-7
66.555000	-6.170012E-9
66.559998	-1.541339E-7
66.565002	-1.668232E-7
66.574997	-1.838198E-7
66.580002	-2.895249E-7
66.584999	-2.641464E-7
66.589996	-5.306210E-7
66.595001	-3.064051E-7
66.605003	-2.048910E-7
66.610001	-5.052425E-7
66.614998	-1.922017E-7
66.620003	-4.164176E-7
66.625000	-2.768356E-7
66.635002	-2.683373E-7
66.639999	-3.444729E-7
66.644997	-2.218876E-7
66.650002	-6.542541E-8
66.654999	-1.584413E-7
66.665001	-2.218876E-7
66.669998	-2.937159E-7
66.675003	-3.868481E-7
66.680000	-4.037283E-7
66.684998	-4.291069E-7
66.695000	-3.317837E-7
66.699997	-5.094334E-7
66.705002	-3.952300E-7
66.709999	-1.668232E-7
66.714996	-2.556480E-7
66.724998	-2.472661E-7
66.730003	-1.036096E-8
66.735001	-2.007000E-7
66.739998	-2.048910E-7
66.745003	-2.048910E-7
66.754997	-1.753215E-7
66.760002	-2.726447E-7
66.764999	-3.698515E-7
66.769997	-2.980232E-7
66.775002	-3.868481E-7
66.785004	-4.122267E-7
66.790001	-3.444729E-7
66.794998	-1.880107E-7
66.800003	-3.360910E-7
66.805000	-2.768356E-7
66.815002	-3.317837E-7
66.820000	-2.091983E-7
66.824997	-2.641464E-7
66.830002	-1.414446E-7
66.834999	-1.541339E-7
66.845001	-2.302695E-7
66.849998	-3.022142E-7
66.855003	-4.206086E-7
66.860001	-2.937159E-7
66.864998	-3.529713E-7
66.875000	-2.175802E-7
66.879997	-2.091983E-7
66.885002	-4.840549E-7
66.889999	-4.501780E-7
66.894997	-2.726447E-7
66.904999	-2.260786E-7
66.910004	-2.260786E-7
66.915001	-2.091983E-7
66.919998	-2.556480E-7
66.925003	-2.260786E-7
66.934998	-3.275927E-7
66.940002	-1.287553E-7
66.945000	-1.118751E-7
66.949997	-3.190944E-7
66.955002	-3.698515E-7
66.964996	-2.175802E-7
66.970001	-2.810266E-7
66.974998	-4.882459E-7
66.980003	-3.741588E-7
66.985001	-2.768356E-7
66.995003	-3.573950E-8
67.000000	-9.499490E-8
67.004997	-4.840549E-7
67.010002	-1.965091E-7
67.014999	-1.880107E-7
67.025002	-2.345769E-7
67.029999	-3.571622E-7
67.035004	-2.260786E-7
67.040001	-4.332978E-7
67.044998	-5.009351E-7
67.055000	-4.840549E-7
67.059998	-5.009351E-7
67.065002	-4.459871E-7
67.070000	-3.275927E-7
67.080002	-4.037283E-7
67.084999	-2.218876E-7
67.089996	-1.965091E-7
67.095001	-1.499429E-7
67.099998	-2.429588E-7
67.110001	-1.668232E-7
67.114998	-1.457520E-7
67.120003	-1.965091E-7
67.125000	-2.556480E-7
67.129997	-2.768356E-7
67.139999	-4.544854E-7
67.144997	-3.571622E-7
67.150002	-4.882459E-7
67.154999	-3.107125E-7
67.160004	-3.064051E-7
67.169998	-2.133893E-7
67.175003	-1.372537E-7
67.180000	-2.345769E-7
67.184998	-6.170012E-9
67.190002	-7.380731E-8
67.199997	-1.541339E-7
67.205002	-1.753215E-7
67.209999	-2.853340E-7
67.214996	-2.641464E-7
67.220001	-4.967442E-7
67.230003	-4.459871E-7
67.235001	-3.360910E-7
67.239998	-4.501780E-7
67.245003	-3.107125E-7
67.250000	-3.149034E-7
67.260002	-2.726447E-7
67.264999	-2.218876E-7
67.269997	-1.880107E-7
67.275002	-1.414446E-7
67.279999	-1.584413E-7
67.290001	-2.048910E-7
67.294998	-1.711305E-7
67.300003	-1.372537E-7
67.305000	-2.641464E-7
67.309998	-7.380731E-8
67.320000	-3.656605E-7
67.324997	-3.149034E-7
67.330002	-4.671747E-7
67.334999	-4.925532E-7
67.339996	-3.783498E-7
67.349998	-3.149034E-7
67.355003	-3.571622E-7
67.360001	-2.133893E-7
67.364998	-1.076842E-7
67.370003	-1.118751E-7
67.379997	-1.880107E-7
67.385002	-1.711305E-7
67.389999	-4.247995E-7
67.394997	-3.444729E-7
67.400002	-4.417961E-7
67.410004	-3.571622E-7
67.415001	-3.444729E-7
67.419998	-4.079193E-7
67.425003	-4.925532E-7
67.430000	-3.571622E-7
67.440002	-2.091983E-7
67.445000	-3.995374E-7
67.449997	-3.571622E-7
67.455002	-1.203734E-7
67.459999	-9.080395E-8
67.470001	-1.457520E-7
67.474998	-1.245644E-7
67.480003	-2.218876E-7
67.485001	-2.175802E-7
67.489998	-9.918585E-8
67.500000	-3.022142E-7
67.504997	-3.783498E-7
67.510002	-3.529713E-7
67.514999	-3.275927E-7
67.519997	-3.190944E-7
67.529999	-2.599554E-7
67.535004	-2.429588E-7
67.540001	-1.287553E-7
67.544998	-2.768356E-7
67.550003	-2.937159E-7
67.559998	2.770685E-8
67.565002	-2.683373E-7
67.570000	-1.584413E-7
67.574997	-2.133893E-7
