% Langmuir characteristic curve

% U (Volt)	I (A)
65.000000	-2.388842E-7
65.004997	-4.164176E-7
65.010002	-2.938323E-7
65.019997	-1.796288E-7
65.025002	-1.923181E-7
65.029999	-2.261950E-7
65.035004	-2.135057E-7
65.040001	-1.500593E-7
65.050003	-3.572786E-7
65.055000	-4.334142E-7
65.059998	-6.025657E-7
65.065002	-5.601905E-7
65.070000	-4.713656E-7
65.080002	-2.684537E-7
65.084999	-4.207250E-7
65.089996	-3.487803E-7
65.095001	-2.811430E-7
65.099998	-2.430752E-7
65.110001	-2.811430E-7
65.114998	-2.388842E-7
65.120003	-4.586764E-7
65.125000	-4.207250E-7
65.129997	-2.472661E-7
65.139999	-3.149034E-7
65.144997	-3.656605E-7
65.150002	-3.953464E-7
65.154999	-5.391194E-7
65.160004	-6.870832E-7
65.169998	-4.291069E-7
65.175003	-4.207250E-7
65.180000	-1.669396E-7
65.184998	-2.135057E-7
65.190002	-2.135057E-7
65.199997	-2.091983E-7
65.205002	-2.853340E-7
65.209999	-2.735760E-8
65.214996	-2.514571E-7
65.220001	-3.826572E-7
65.230003	-3.614696E-7
65.235001	-5.094334E-7
65.239998	-5.559996E-7
65.245003	-4.544854E-7
65.250000	-3.572786E-7
65.260002	-5.855691E-7
65.264999	-4.671747E-7
65.269997	-4.080357E-7
65.275002	-2.430752E-7
65.279999	-2.980232E-7
65.290001	-2.345769E-7
65.294998	-2.303859E-7
65.300003	-2.388842E-7
65.305000	-4.037283E-7
65.309998	-1.034932E-7
65.320000	-1.330627E-7
65.324997	-2.726447E-7
65.330002	-3.487803E-7
65.334999	-5.686888E-7
65.339996	-4.334142E-7
65.349998	-3.656605E-7
65.355003	-4.080357E-7
65.360001	-3.319001E-7
65.364998	-3.995374E-7
65.370003	-3.192108E-7
65.379997	-2.303859E-7
65.385002	-2.938323E-7
65.389999	-1.288718E-7
65.394997	-2.176967E-7
65.400002	-3.402820E-7
65.410004	-2.514571E-7
65.415001	-4.629837E-7
65.419998	-3.360910E-7
65.425003	-2.430752E-7
65.430000	-5.094334E-7
65.440002	-4.967442E-7
65.445000	-3.910391E-7
65.449997	-3.445894E-7
65.455002	-4.037283E-7
65.459999	-3.741588E-7
65.470001	-2.514571E-7
65.474998	-5.692709E-8
65.480003	-1.881272E-7
65.485001	-3.699679E-7
65.489998	-2.853340E-7
65.500000	-3.149034E-7
65.504997	-3.699679E-7
65.510002	-3.572786E-7
65.514999	-4.417961E-7
65.519997	-2.557645E-7
65.529999	-3.826572E-7
65.535004	-5.433103E-7
65.540001	-4.376052E-7
65.544998	-3.953464E-7
65.550003	-2.726447E-7
65.559998	-2.514571E-7
65.565002	-2.303859E-7
65.570000	-3.585592E-8
65.574997	-4.713656E-7
65.580002	-2.261950E-7
65.589996	-3.656605E-7
65.595001	-2.768356E-7
65.599998	-5.518086E-7
65.605003	-4.164176E-7
65.610001	-4.291069E-7
65.620003	-4.122267E-7
65.625000	-5.686888E-7
65.629997	-3.995374E-7
65.635002	-1.373701E-7
65.639999	-2.811430E-7
65.650002	-3.529713E-7
65.654999	-1.838198E-7
65.660004	-1.669396E-7
65.665001	-2.768356E-7
65.669998	-2.430752E-7
65.680000	-2.388842E-7
65.684998	-4.967442E-7
65.690002	-3.572786E-7
65.695000	-5.306210E-7
65.705002	-2.472661E-7
65.709999	-4.586764E-7
65.714996	-5.137408E-7
65.720001	-2.599554E-7
65.724998	-3.275927E-7
65.735001	-3.107125E-7
65.739998	-2.895249E-7
65.745003	-2.388842E-7
65.750000	-2.599554E-7
65.754997	-3.402820E-7
65.764999	-2.135057E-7
65.769997	-4.502945E-7
65.775002	-3.572786E-7
65.779999	-3.107125E-7
65.785004	-3.868481E-7
65.794998	-4.080357E-7
65.800003	-4.080357E-7
65.805000	-5.094334E-7
65.809998	-2.303859E-7
65.815002	-4.037283E-7
65.824997	-2.135057E-7
65.830002	-8.230563E-8
65.834999	-3.107125E-7
65.839996	-1.796288E-7
65.845001	-3.445894E-7
65.855003	-2.135057E-7
65.860001	-3.741588E-7
65.864998	-3.192108E-7
65.870003	-2.557645E-7
65.875000	-4.840549E-7
65.885002	-4.080357E-7
65.889999	-4.671747E-7
65.894997	-3.826572E-7
65.900002	-3.826572E-7
65.904999	-2.938323E-7
65.915001	-2.853340E-7
65.919998	-2.980232E-7
65.925003	-3.910391E-7
65.930000	-1.711305E-7
65.934998	-1.838198E-7
65.945000	-3.487803E-7
65.949997	-3.402820E-7
65.955002	-3.234018E-7
65.959999	-3.868481E-7
65.964996	-3.529713E-7
65.974998	-4.164176E-7
65.980003	-3.953464E-7
65.985001	-5.010515E-7
65.989998	-4.376052E-7
65.995003	-2.980232E-7
66.004997	-4.629837E-7
66.010002	-3.022142E-7
66.014999	-2.430752E-7
66.019997	-2.599554E-7
66.025002	-3.319001E-7
66.035004	-2.557645E-7
66.040001	-3.022142E-7
66.044998	-3.022142E-7
66.050003	-2.768356E-7
66.055000	-5.348120E-7
66.065002	-3.741588E-7
66.070000	-3.868481E-7
66.074997	-4.925532E-7
66.080002	-3.910391E-7
66.084999	-2.091983E-7
66.095001	-5.010515E-7
66.099998	-3.107125E-7
66.105003	-2.853340E-7
66.110001	-1.965091E-7
66.114998	-2.303859E-7
66.125000	-2.176967E-7
66.129997	-3.614696E-7
66.135002	-2.938323E-7
66.139999	-6.152550E-7
66.144997	-4.925532E-7
66.154999	-4.164176E-7
66.160004	-5.982583E-7
66.165001	-4.798640E-7
66.169998	-3.699679E-7
66.175003	-3.487803E-7
66.184998	-2.514571E-7
66.190002	-3.149034E-7
66.195000	-1.881272E-7
66.199997	-2.514571E-7
66.205002	-5.692709E-8
66.214996	-3.741588E-7
66.220001	-3.275927E-7
66.224998	-3.783498E-7
66.230003	-1.415610E-7
66.235001	-4.925532E-7
66.245003	-4.629837E-7
66.250000	-5.475013E-7
66.254997	-3.868481E-7
66.260002	-3.572786E-7
66.264999	-3.107125E-7
66.275002	-3.275927E-7
66.279999	-4.461035E-7
66.285004	-3.953464E-7
66.290001	-1.627486E-7
66.294998	-1.881272E-7
66.305000	-1.881272E-7
66.309998	-3.234018E-7
66.315002	-3.445894E-7
66.320000	-3.572786E-7
66.324997	-1.796288E-7
66.334999	-5.475013E-7
66.339996	-3.487803E-7
66.345001	-5.813781E-7
66.349998	-5.010515E-7
66.355003	-3.445894E-7
66.364998	-4.671747E-7
66.370003	-2.514571E-7
66.375000	-3.656605E-7
66.379997	-3.065215E-7
66.385002	-2.557645E-7
66.394997	-2.316665E-8
66.400002	-2.557645E-7
66.404999	-3.275927E-7
66.410004	-2.853340E-7
66.415001	-3.192108E-7
66.425003	-3.699679E-7
66.430000	-4.967442E-7
66.434998	-3.910391E-7
66.440002	-2.345769E-7
66.445000	-4.291069E-7
66.455002	-3.360910E-7
66.459999	-2.811430E-7
66.464996	-1.838198E-7
66.470001	-3.275927E-7
66.474998	-1.965091E-7
66.485001	-2.091983E-7
66.489998	-4.854519E-8
66.495003	-2.135057E-7
66.500000	-2.684537E-7
66.504997	-2.303859E-7
66.514999	-4.502945E-7
66.519997	-5.094334E-7
66.525002	-5.475013E-7
66.529999	-4.376052E-7
