% Langmuir characteristic curve

% U (Volt)	I (A)
66.355003	-3.741588E-7
66.364998	-4.417961E-7
66.370003	-4.586764E-7
66.375000	-5.475013E-7
66.379997	-4.629837E-7
66.385002	-4.459871E-7
66.394997	-3.571622E-7
66.400002	-1.584413E-7
66.404999	-2.853340E-7
66.410004	-2.683373E-7
66.415001	-1.923181E-7
66.425003	-3.952300E-7
66.430000	-2.472661E-7
66.434998	-3.825407E-7
66.440002	-3.275927E-7
66.445000	-3.698515E-7
66.455002	-4.967442E-7
66.459999	-4.544854E-7
66.464996	-2.853340E-7
66.470001	-6.024493E-7
66.474998	-3.698515E-7
66.485001	-3.614696E-7
66.489998	-3.868481E-7
66.495003	-3.910391E-7
66.500000	-2.556480E-7
66.504997	-2.387678E-7
66.514999	-4.079193E-7
66.519997	-1.965091E-7
66.525002	-3.995374E-7
66.529999	-4.332978E-7
66.535004	-4.459871E-7
66.544998	-4.417961E-7
66.550003	-4.840549E-7
66.555000	-4.544854E-7
66.559998	-5.601905E-7
66.565002	-4.671747E-7
66.574997	-3.444729E-7
66.580002	-3.022142E-7
66.584999	-2.895249E-7
66.589996	-2.429588E-7
66.595001	-1.880107E-7
66.605003	-2.472661E-7
66.610001	-3.825407E-7
66.614998	-2.980232E-7
66.620003	-2.050074E-7
66.625000	-4.967442E-7
66.635002	-4.291069E-7
66.639999	-3.783498E-7
66.644997	-5.940674E-7
66.650002	-4.713656E-7
66.654999	-5.686888E-7
66.665001	-3.910391E-7
66.669998	-1.626322E-7
66.675003	-2.260786E-7
66.680000	-2.176967E-7
66.684998	-2.472661E-7
66.695000	-3.360910E-7
66.699997	-4.079193E-7
66.705002	-2.556480E-7
66.709999	-4.164176E-7
66.714996	-4.037283E-7
66.724998	-3.529713E-7
66.730003	-3.614696E-7
66.735001	-3.783498E-7
66.739998	-4.798640E-7
66.745003	-5.137408E-7
66.754997	-3.825407E-7
66.760002	-3.107125E-7
66.764999	-1.034932E-7
66.769997	-3.402820E-7
66.775002	-3.487803E-7
66.785004	-2.683373E-7
66.790001	-2.768356E-7
66.794998	-2.768356E-7
66.800003	-3.656605E-7
66.805000	-2.768356E-7
66.815002	-4.164176E-7
66.820000	-4.037283E-7
66.824997	-4.079193E-7
66.830002	-4.756730E-7
66.834999	-4.671747E-7
66.845001	-5.221227E-7
66.849998	-1.626322E-7
66.855003	-3.952300E-7
66.860001	-2.345769E-7
66.864998	-3.868481E-7
66.875000	-3.614696E-7
66.879997	-1.711305E-7
66.885002	-2.302695E-7
66.889999	-3.656605E-7
66.894997	-4.883623E-7
66.904999	-4.459871E-7
66.910004	-6.194459E-7
66.915001	-2.683373E-7
66.919998	-4.332978E-7
66.925003	-3.868481E-7
66.934998	-3.190944E-7
66.940002	-3.064051E-7
66.945000	-2.091983E-7
66.949997	-3.107125E-7
66.955002	-3.529713E-7
66.964996	-2.514571E-7
66.970001	-2.726447E-7
66.974998	-2.895249E-7
66.980003	-1.330627E-7
66.985001	-2.726447E-7
66.995003	-3.910391E-7
67.000000	-5.179318E-7
67.004997	-5.348120E-7
67.010002	-4.798640E-7
67.014999	-4.629837E-7
67.025002	-3.402820E-7
67.029999	-1.669396E-7
67.035004	-2.641464E-7
67.040001	-2.050074E-7
67.044998	-1.584413E-7
67.055000	-3.783498E-7
67.059998	-2.218876E-7
67.065002	-2.726447E-7
67.070000	-3.529713E-7
67.080002	-1.542503E-7
67.084999	-3.741588E-7
67.089996	-4.417961E-7
67.095001	-3.783498E-7
67.099998	-4.756730E-7
67.110001	-4.502945E-7
67.114998	-4.840549E-7
67.120003	-5.179318E-7
67.125000	-1.076842E-7
67.129997	-3.741588E-7
67.139999	-3.064051E-7
67.144997	-1.711305E-7
67.150002	-2.683373E-7
67.154999	-2.768356E-7
67.160004	-3.402820E-7
67.169998	-2.768356E-7
67.175003	-3.868481E-7
67.180000	-5.728798E-7
67.184998	-4.332978E-7
67.190002	-4.629837E-7
67.199997	-4.079193E-7
67.205002	-4.291069E-7
67.209999	-2.937159E-7
67.214996	-5.348120E-7
67.220001	-4.079193E-7
67.230003	-1.711305E-7
67.235001	-2.472661E-7
67.239998	-5.273614E-8
67.245003	-2.472661E-7
67.250000	-2.007000E-7
67.260002	-4.332978E-7
67.264999	-3.317837E-7
67.269997	-2.472661E-7
67.275002	-4.291069E-7
67.279999	-4.756730E-7
67.290001	-4.544854E-7
67.294998	-4.586764E-7
67.300003	-2.853340E-7
67.305000	-3.275927E-7
67.309998	-3.190944E-7
67.320000	-2.345769E-7
67.324997	-1.923181E-7
67.330002	-3.022142E-7
67.334999	-6.542541E-8
67.339996	-3.064051E-7
67.349998	-4.840549E-7
67.355003	-2.683373E-7
67.360001	-4.967442E-7
67.364998	-3.910391E-7
67.370003	-4.206086E-7
67.379997	-4.122267E-7
67.385002	-3.741588E-7
67.389999	-3.149034E-7
67.394997	-3.190944E-7
67.400002	-2.050074E-7
67.410004	-2.768356E-7
67.415001	-3.444729E-7
67.419998	-2.050074E-7
67.425003	-2.050074E-7
67.430000	-3.317837E-7
67.440002	-2.768356E-7
67.445000	-2.810266E-7
67.449997	-4.164176E-7
67.455002	-4.544854E-7
67.459999	-2.937159E-7
67.470001	-5.221227E-7
67.474998	-4.459871E-7
67.480003	-3.698515E-7
67.485001	-3.614696E-7
67.489998	-3.107125E-7
67.500000	-1.796288E-7
67.504997	-4.332978E-7
67.510002	-3.064051E-7
67.514999	-2.302695E-7
67.519997	-3.698515E-7
67.529999	-3.741588E-7
67.535004	-3.107125E-7
67.540001	-4.459871E-7
67.544998	-4.671747E-7
67.550003	-3.741588E-7
67.559998	-6.024493E-7
67.565002	-4.544854E-7
67.570000	-3.741588E-7
67.574997	-3.149034E-7
67.580002	-3.360910E-7
67.589996	-1.711305E-7
67.595001	-5.273614E-8
67.599998	-2.980232E-7
67.605003	-3.571622E-7
67.610001	-2.345769E-7
67.620003	-3.656605E-7
67.625000	-1.542503E-7
67.629997	-3.614696E-7
67.635002	-2.980232E-7
67.639999	-5.306210E-7
67.650002	-5.813781E-7
67.654999	-4.122267E-7
67.660004	-3.868481E-7
67.665001	-5.010515E-7
67.669998	-2.853340E-7
67.680000	-2.556480E-7
67.684998	-1.838198E-7
67.690002	-2.429588E-7
67.695000	-2.514571E-7
67.699997	-1.669396E-7
67.709999	-2.853340E-7
67.714996	-2.726447E-7
67.720001	-5.094334E-7
67.724998	-3.656605E-7
67.730003	-4.037283E-7
67.739998	-4.925532E-7
67.745003	-3.868481E-7
67.750000	-4.164176E-7
67.754997	-2.853340E-7
67.760002	-2.937159E-7
67.769997	-4.586764E-7
67.775002	-1.711305E-7
67.779999	-2.218876E-7
67.785004	-2.514571E-7
67.790001	-1.796288E-7
67.800003	-3.360910E-7
67.805000	-3.529713E-7
67.809998	-5.306210E-7
67.815002	-5.643815E-7
67.820000	-4.586764E-7
67.830002	-3.783498E-7
67.834999	-4.037283E-7
67.839996	-5.179318E-7
67.845001	-3.741588E-7
67.849998	-4.671747E-7
67.860001	-1.923181E-7
67.864998	-2.345769E-7
67.870003	-2.556480E-7
67.875000	-1.711305E-7
67.879997	-2.683373E-7
67.889999	-2.091983E-7
67.894997	-2.895249E-7
67.900002	-1.669396E-7
67.904999	-3.698515E-7
67.910004	-5.475013E-7
67.919998	-3.868481E-7
67.925003	-4.079193E-7
67.930000	-4.249159E-7
67.934998	-2.895249E-7
67.940002	-1.880107E-7
67.949997	-6.111804E-8
67.955002	-2.176967E-7
67.959999	-1.796288E-7
67.964996	-3.868481E-7
67.970001	-2.768356E-7
67.980003	-3.910391E-7
67.985001	-3.614696E-7
67.989998	-2.895249E-7
67.995003	-3.614696E-7
68.000000	-5.516922E-7
68.010002	-3.444729E-7
68.014999	-2.472661E-7
68.019997	-3.868481E-7
68.025002	-3.444729E-7
68.029999	-2.937159E-7
68.040001	-2.683373E-7
68.044998	6.519258E-9
68.050003	-3.741588E-7
68.055000	-2.133893E-7
68.059998	-2.980232E-7
68.070000	-3.868481E-7
68.074997	-3.487803E-7
68.080002	-4.079193E-7
68.084999	-3.614696E-7
68.089996	-4.544854E-7
68.099998	-4.629837E-7
68.105003	-5.982583E-7
68.110001	-3.868481E-7
68.114998	-3.656605E-7
68.120003	-3.360910E-7
68.129997	-3.022142E-7
68.135002	-2.472661E-7
68.139999	-2.853340E-7
68.144997	-2.937159E-7
68.150002	-2.768356E-7
68.160004	-5.692709E-8
68.165001	-3.107125E-7
68.169998	-2.768356E-7
68.175003	-4.122267E-7
68.180000	-4.376052E-7
68.190002	-4.164176E-7
68.195000	-5.221227E-7
68.199997	-4.629837E-7
68.205002	-5.221227E-7
68.209999	-3.868481E-7
68.220001	-3.656605E-7
68.224998	-2.810266E-7
68.230003	-2.895249E-7
68.235001	-2.176967E-7
68.239998	-1.838198E-7
68.250000	-2.641464E-7
68.254997	-4.544854E-7
68.260002	-2.810266E-7
68.264999	-4.967442E-7
68.269997	-4.164176E-7
68.279999	-5.813781E-7
68.285004	-5.770708E-7
68.290001	-3.529713E-7
68.294998	-2.768356E-7
68.300003	-3.275927E-7
68.309998	-2.980232E-7
68.315002	-1.838198E-7
68.320000	-2.345769E-7
68.324997	-2.176967E-7
68.330002	-3.317837E-7
68.339996	-3.952300E-7
68.345001	-3.656605E-7
68.349998	-2.895249E-7
68.355003	-4.079193E-7
68.360001	-4.376052E-7
68.370003	-3.741588E-7
68.375000	-4.459871E-7
68.379997	-3.487803E-7
68.385002	-3.190944E-7
68.389999	-3.022142E-7
68.400002	-3.402820E-7
68.404999	-3.022142E-7
68.410004	-4.842877E-8
68.415001	-2.091983E-7
68.419998	-3.783498E-7
68.430000	-2.133893E-7
68.434998	-2.302695E-7
68.440002	-3.064051E-7
68.445000	-4.206086E-7
68.449997	-5.516922E-7
68.459999	-4.079193E-7
68.464996	-2.641464E-7
68.470001	-3.995374E-7
68.474998	-5.263137E-7
68.485001	-2.599554E-7
68.489998	-3.107125E-7
68.495003	-2.133893E-7
68.500000	-2.218876E-7
68.504997	-2.683373E-7
68.514999	-7.811468E-8
68.519997	-1.669396E-7
68.525002	-2.302695E-7
68.529999	-4.459871E-7
68.535004	-4.840549E-7
68.544998	-2.260786E-7
68.550003	-4.079193E-7
68.555000	-3.868481E-7
68.559998	-4.376052E-7
68.565002	-3.529713E-7
68.574997	-3.064051E-7
68.580002	-3.698515E-7
68.584999	-2.133893E-7
68.589996	-2.683373E-7
68.595001	-6.542541E-8
68.605003	-1.753215E-7
68.610001	-2.683373E-7
68.614998	-1.965091E-7
68.620003	-3.107125E-7
68.625000	-1.880107E-7
68.635002	-5.601905E-7
68.639999	-2.345769E-7
68.644997	-5.686888E-7
68.650002	-5.643815E-7
68.654999	-4.459871E-7
68.665001	-4.840549E-7
68.669998	-3.064051E-7
68.675003	-2.176967E-7
68.680000	-2.514571E-7
68.684998	-3.573950E-8
68.695000	-2.429588E-7
68.699997	-3.487803E-7
68.705002	-1.753215E-7
68.709999	-3.783498E-7
68.714996	-2.599554E-7
68.724998	-4.883623E-7
68.730003	-5.475013E-7
68.735001	-3.741588E-7
68.739998	-3.910391E-7
68.745003	-3.571622E-7
68.754997	-3.317837E-7
68.760002	-2.683373E-7
68.764999	-1.118751E-7
68.769997	-4.004687E-8
68.775002	-3.360910E-7
68.785004	-2.091983E-7
68.790001	-3.190944E-7
68.794998	-1.923181E-7
68.800003	-1.626322E-7
68.805000	-2.641464E-7
68.815002	-4.925532E-7
68.820000	-2.133893E-7
68.824997	-4.925532E-7
68.830002	-2.429588E-7
68.834999	-4.417961E-7
68.845001	-2.980232E-7
68.849998	-2.683373E-7
68.855003	-2.599554E-7
68.860001	-1.457520E-7
68.864998	-1.885928E-8
68.875000	-1.796288E-7
68.879997	-1.288718E-7
68.885002	-3.529713E-7
68.889999	-5.601905E-7
68.894997	-3.444729E-7
68.904999	-3.910391E-7
68.910004	-4.417961E-7
68.915001	-3.487803E-7
68.919998	-2.726447E-7
68.925003	-3.995374E-7
68.934998	-1.542503E-7
68.940002	-3.910391E-7
68.945000	-3.190944E-7
68.949997	-3.656605E-7
68.955002	-2.429588E-7
68.964996	-3.783498E-7
68.970001	-3.444729E-7
68.974998	-9.080395E-8
68.980003	-2.683373E-7
68.985001	-2.556480E-7
68.995003	-4.332978E-7
69.000000	-4.249159E-7
69.004997	-3.614696E-7
69.010002	-4.544854E-7
69.014999	-3.360910E-7
69.025002	-3.656605E-7
69.029999	-4.502945E-7
69.035004	-3.022142E-7
69.040001	-3.571622E-7
69.044998	-1.880107E-7
69.055000	-1.457520E-7
69.059998	-1.036096E-8
69.065002	-2.260786E-7
69.070000	-2.980232E-7
69.074997	-3.107125E-7
69.084999	-2.472661E-7
69.089996	-5.390029E-7
69.095001	-5.263137E-7
69.099998	-3.614696E-7
69.105003	-4.164176E-7
69.114998	-4.164176E-7
69.120003	-3.234018E-7
69.125000	-3.234018E-7
69.129997	-2.853340E-7
69.135002	-2.007000E-7
69.144997	-2.556480E-7
69.150002	-1.584413E-7
69.154999	-2.345769E-7
69.160004	-2.387678E-7
69.165001	-1.076842E-7
69.175003	-3.107125E-7
69.180000	-3.825407E-7
69.184998	-5.094334E-7
69.190002	-4.079193E-7
69.195000	-2.556480E-7
69.205002	-3.487803E-7
69.209999	-4.417961E-7
69.214996	-2.514571E-7
69.220001	-2.937159E-7
69.224998	-3.154855E-8
69.235001	-1.979060E-9
69.239998	-2.683373E-7
69.245003	-2.260786E-7
69.250000	-2.472661E-7
69.254997	-2.302695E-7
69.264999	-3.317837E-7
69.269997	-3.190944E-7
69.275002	-4.586764E-7
69.279999	-4.164176E-7
69.285004	-5.516922E-7
69.294998	-4.756730E-7
69.300003	-3.698515E-7
69.305000	-2.853340E-7
69.309998	-2.429588E-7
69.315002	-1.076842E-7
69.324997	-1.711305E-7
69.330002	-2.429588E-7
69.334999	-2.472661E-7
69.339996	-7.811468E-8
69.345001	-9.918585E-8
69.355003	-4.586764E-7
69.360001	-3.149034E-7
69.364998	-3.444729E-7
69.370003	-3.952300E-7
69.375000	-4.840549E-7
69.385002	-3.317837E-7
69.389999	-2.937159E-7
69.394997	-2.937159E-7
69.400002	-3.741588E-7
69.404999	-3.154855E-8
69.415001	-1.979060E-9
69.419998	-2.345769E-7
69.425003	-4.249159E-7
69.430000	-2.641464E-7
69.434998	-2.599554E-7
69.445000	-1.203734E-7
69.449997	-4.798640E-7
69.455002	-3.614696E-7
69.459999	-4.629837E-7
69.464996	-5.094334E-7
69.474998	-4.376052E-7
69.480003	-3.190944E-7
69.485001	-2.726447E-7
69.489998	-2.429588E-7
69.495003	-2.133893E-7
69.504997	-1.838198E-7
69.510002	-2.007000E-7
69.514999	-1.923181E-7
69.519997	-2.091983E-7
69.525002	-2.387678E-7
69.535004	-4.164176E-7
69.540001	-1.626322E-7
69.544998	-2.895249E-7
69.550003	-3.698515E-7
69.555000	-3.656605E-7
69.565002	-3.571622E-7
69.570000	-4.586764E-7
69.574997	-2.895249E-7
69.580002	-4.079193E-7
69.584999	-1.466833E-8
69.595001	-1.245644E-7
69.599998	-2.937159E-7
69.605003	-3.402820E-7
69.610001	-3.360910E-7
69.614998	-3.444729E-7
69.625000	-3.910391E-7
69.629997	-4.417961E-7
69.635002	-4.206086E-7
69.639999	-3.487803E-7
69.644997	-2.895249E-7
69.654999	-1.838198E-7
69.660004	-4.291069E-7
69.665001	-2.599554E-7
69.669998	-9.080395E-8
69.675003	-1.584413E-7
69.684998	-2.683373E-7
69.690002	-1.034932E-7
69.695000	-9.918585E-8
69.699997	-4.206086E-7
69.705002	-2.387678E-7
69.714996	-2.133893E-7
69.720001	-1.669396E-7
69.724998	-3.190944E-7
69.730003	-4.206086E-7
69.735001	-3.360910E-7
69.745003	-3.444729E-7
69.750000	-3.064051E-7
69.754997	-3.487803E-7
69.760002	-2.937159E-7
69.764999	6.519258E-9
69.775002	-1.669396E-7
69.779999	-3.149034E-7
69.785004	-2.302695E-7
69.790001	-2.514571E-7
69.794998	-3.444729E-7
69.805000	-7.811468E-8
69.809998	-4.291069E-7
69.815002	-3.910391E-7
69.820000	-3.571622E-7
69.824997	-3.868481E-7
69.834999	-1.626322E-7
69.839996	-4.544854E-7
69.845001	-1.838198E-7
69.849998	-3.107125E-7
69.860001	-1.372537E-7
69.864998	-9.918585E-8
69.870003	-1.796288E-7
69.875000	-1.753215E-7
69.879997	-1.880107E-7
69.889999	-1.542503E-7
69.894997	-3.022142E-7
69.900002	-3.064051E-7
69.904999	-3.275927E-7
69.910004	-5.094334E-7
69.919998	-3.402820E-7
69.925003	-6.024493E-7
69.930000	-2.260786E-7
69.934998	-2.853340E-7
69.940002	-1.965091E-7
69.949997	-2.007000E-7
69.955002	-1.457520E-7
69.959999	4.877802E-8
69.964996	-1.457520E-7
69.970001	-2.091983E-7
69.980003	-3.149034E-7
69.985001	-3.995374E-7
69.989998	-2.302695E-7
69.995003	-3.698515E-7
70.000000	-4.883623E-7
70.010002	-3.317837E-7
70.014999	-3.402820E-7
70.019997	-3.614696E-7
70.025002	-3.868481E-7
70.029999	-3.952300E-7
70.040001	-9.080395E-8
70.044998	-3.190944E-7
70.050003	-2.810266E-7
70.055000	-7.811468E-8
70.059998	-1.372537E-7
70.070000	-1.669396E-7
70.074997	-2.556480E-7
70.080002	-2.260786E-7
70.084999	-2.387678E-7
70.089996	-2.768356E-7
70.099998	-2.768356E-7
70.105003	-3.614696E-7
70.110001	-3.022142E-7
70.114998	-5.010515E-7
70.120003	-3.022142E-7
70.129997	-3.022142E-7
70.135002	-1.796288E-7
70.139999	-8.649658E-8
70.144997	-4.423782E-8
70.150002	-7.380731E-8
70.160004	-2.218876E-7
70.165001	-2.050074E-7
70.169998	-2.176967E-7
70.175003	-2.810266E-7
70.180000	-4.671747E-7
70.190002	-2.768356E-7
70.195000	-3.190944E-7
70.199997	-1.923181E-7
70.205002	-2.980232E-7
70.209999	-2.133893E-7
70.220001	-2.937159E-7
70.224998	-6.111804E-8
70.230003	-4.842877E-8
70.235001	-2.007000E-7
70.239998	-1.245644E-7
70.250000	-2.133893E-7
70.254997	-4.423782E-8
70.260002	-6.170012E-9
70.264999	-3.064051E-7
70.269997	-2.641464E-7
70.279999	-3.275927E-7
70.285004	-6.111804E-8
70.290001	-4.332978E-7
70.294998	-2.556480E-7
70.300003	-2.514571E-7
70.309998	-2.683373E-7
70.315002	-7.811468E-8
70.320000	-2.305023E-8
70.324997	3.608875E-8
70.330002	-3.154855E-8
70.339996	-2.007000E-7
70.345001	-1.288718E-7
70.349998	3.189780E-8
70.355003	-2.514571E-7
70.360001	-2.683373E-7
70.370003	-2.810266E-7
70.375000	-2.050074E-7
70.379997	-2.050074E-7
70.385002	-2.091983E-7
70.389999	-3.995374E-7
70.400002	6.996561E-8
70.404999	-6.542541E-8
70.410004	1.249136E-7
70.415001	-4.423782E-8
70.419998	-1.076842E-7
70.430000	-1.979060E-9
70.434998	-2.091983E-7
70.440002	-2.345769E-7
70.445000	-1.923181E-7
70.449997	-5.052425E-7
