Record Length,10000,Points,-164.60000188E-6,4.15999985,,Record Length,10000,Points,-164.60000188E-6,416.000008583E-3,,Record Length,10000,Points,-164.60000188E-6,-2.5599999,
Sample Interval,39.99999976E-9,s,-164.55999867E-6,4.00000000,,Sample Interval,39.99999976E-9,s,-164.55999867E-6,416.000008583E-3,,Sample Interval,39.99999976E-9,s,-164.55999867E-6,-2.6399999,
Trigger Point,4.11500027E3,Samples,-164.51999545E-6,3.91999984,,Trigger Point,4.11500027E3,Samples,-164.51999545E-6,416.000008583E-3,,Trigger Point,4.11500027E3,Samples,-164.51999545E-6,-2.6399999,
,,,-164.48000679E-6,3.91999984,,,,,-164.48000679E-6,424.000024796E-3,,,,,-164.48000679E-6,-2.5599999,
,,,-164.44000357E-6,3.83999991,,,,,-164.44000357E-6,424.000024796E-3,,,,,-164.44000357E-6,-2.5599999,
,,,-164.40000036E-6,3.75999999,,,,,-164.40000036E-6,416.000008583E-3,,,,,-164.40000036E-6,-2.4800000,
Source,CH1,,-164.35999714E-6,3.59999990,,Source,CH2,,-164.35999714E-6,424.000024796E-3,,Source,CH3,,-164.35999714E-6,-2.5599999,
Vertical Units,V,,-164.32000848E-6,3.59999990,,Vertical Units,V,,-164.32000848E-6,432.000011206E-3,,Vertical Units,V,,-164.32000848E-6,-1.1999999,
Vertical Scale,2.0000000,,-164.28000527E-6,3.59999990,,Vertical Scale,200.00000950E-3,,-164.28000527E-6,424.000024796E-3,,Vertical Scale,2.0000000,,-164.28000527E-6,319.99999285E-3,
Vertical Offset,0,,-164.24000205E-6,3.51999998,,Vertical Offset,0,,-164.24000205E-6,432.000011206E-3,,Vertical Offset,0,,-164.24000205E-6,1.6799999,
Horizontal Units,s,,-164.19999884E-6,3.27999997,,Horizontal Units,s,,-164.19999884E-6,440.000027418E-3,,Horizontal Units,s,,-164.19999884E-6,2.3999999,
Horizontal Scale,39.99999976E-6,,-164.15999562E-6,3.19999981,,Horizontal Scale,39.99999976E-6,,-164.15999562E-6,448.000013828E-3,,Horizontal Scale,39.99999976E-6,,-164.15999562E-6,1.6799999,
Pt Fmt,Y,,-164.12000696E-6,3.27999997,,Pt Fmt,Y,,-164.12000696E-6,432.000011206E-3,,Pt Fmt,Y,,-164.12000696E-6,319.99999285E-3,
Yzero,240.00000000E-3,,-164.08000374E-6,3.11999989,,Yzero,0.0,,-164.08000374E-6,432.000011206E-3,,Yzero,0.0,,-164.08000374E-6,-1.1999999,
Probe Atten,1.000000,,-164.04000053E-6,3.03999996,,Probe Atten,1.000000,,-164.04000053E-6,440.000027418E-3,,Probe Atten,1.000000,,-164.04000053E-6,-2.4800000,
,,,-163.99999731E-6,3.03999996,,,,,-163.99999731E-6,448.000013828E-3,,,,,-163.99999731E-6,-2.5599999,
Note,TDS 3014C - 14:47:43   30.01.2023,,-163.96000865E-6,3.03999996,,Note,TDS 3014C - 14:47:43   30.01.2023,,-163.96000865E-6,456.000030041E-3,,Note,TDS 3014C - 14:47:43   30.01.2023,,-163.96000865E-6,-2.72000003,
,,,-163.92000543E-6,2.87999988,,,,,-163.92000543E-6,456.000030041E-3,,,,,-163.92000543E-6,-2.6399999,
,,,-163.88000222E-6,2.6399999,,,,,-163.88000222E-6,440.000027418E-3,,,,,-163.88000222E-6,-2.5599999,
,,,-163.83999900E-6,2.72000003,,,,,-163.83999900E-6,448.000013828E-3,,,,,-163.83999900E-6,-2.5599999,
,,,-163.79999579E-6,2.6399999,,,,,-163.79999579E-6,456.000030041E-3,,,,,-163.79999579E-6,-2.5599999,
,,,-163.76000713E-6,2.4800000,,,,,-163.76000713E-6,448.000013828E-3,,,,,-163.76000713E-6,-2.5599999,
,,,-163.72000391E-6,2.4800000,,,,,-163.72000391E-6,456.000030041E-3,,,,,-163.72000391E-6,-2.6399999,
,,,-163.68000070E-6,2.3199999,,,,,-163.68000070E-6,448.000013828E-3,,,,,-163.68000070E-6,-2.6399999,
