Record Length,10000,Points,-49.99999874E-6,2.88000004E-3,,Record Length,10000,Points,-49.99999874E-6,-12.7999997E-3,
Sample Interval,9.999999939E-9,s,-49.98999793E-6,2.83999997E-3,,Sample Interval,9.999999939E-9,s,-49.98999793E-6,-12.6000000E-3,
Trigger Point,5.00000014E3,Samples,-49.97999713E-6,2.88000004E-3,,Trigger Point,5.00000014E3,Samples,-49.97999713E-6,-12.6000000E-3,
,,,-49.96999996E-6,2.91999988E-3,,,,,-49.96999996E-6,-12.6000000E-3,
,,,-49.95999916E-6,2.91999988E-3,,,,,-49.95999916E-6,-12.3999994E-3,
,,,-49.94999836E-6,2.83999997E-3,,,,,-49.94999836E-6,-12.3999994E-3,
Source,CH1,,-49.93999755E-6,2.71999999E-3,,Source,CH2,,-49.93999755E-6,-11.7999995E-3,
Vertical Units,V,,-49.93000039E-6,2.5199999E-3,,Vertical Units,V,,-49.93000039E-6,-10.9999999E-3,
Vertical Scale,999.999974738E-6,,-49.91999958E-6,2.3999999E-3,,Vertical Scale,4.99999987E-3,,-49.91999958E-6,-11.3999993E-3,
Vertical Offset,0,,-49.90999878E-6,2.4400000E-3,,Vertical Offset,0,,-49.90999878E-6,-12.0000001E-3,
Horizontal Units,s,,-49.89999798E-6,2.5199999E-3,,Horizontal Units,s,,-49.89999798E-6,-12.7999997E-3,
Horizontal Scale,9.999999939E-6,,-49.88999717E-6,2.6000000E-3,,Horizontal Scale,9.999999939E-6,,-49.88999717E-6,-12.9999993E-3,
Pt Fmt,Y,,-49.88000001E-6,2.83999997E-3,,Pt Fmt,Y,,-49.88000001E-6,-12.1999998E-3,
Yzero,240.00000000E-3,,-49.86999920E-6,2.91999988E-3,,Yzero,0.0,,-49.86999920E-6,-11.1999996E-3,
Probe Atten,1.000000,,-49.85999840E-6,3.00000003E-3,,Probe Atten,1.000000,,-49.85999840E-6,-10.5999997E-3,
,,,-49.84999759E-6,3.15999985E-3,,,,,-49.84999759E-6,-10.4000000E-3,
Note,TDS 3014C - 11:01:14   30.01.2023,,-49.84000043E-6,3.15999985E-3,,Note,TDS 3014C - 11:01:14   30.01.2023,,-49.84000043E-6,-10.9999999E-3,
,,,-49.82999963E-6,3.12000001E-3,,,,,-49.82999963E-6,-11.7999995E-3,
,,,-49.81999882E-6,2.95999995E-3,,,,,-49.81999882E-6,-12.3999994E-3,
,,,-49.80999802E-6,2.75999983E-3,,,,,-49.80999802E-6,-12.3999994E-3,
,,,-49.79999721E-6,2.6000000E-3,,,,,-49.79999721E-6,-12.1999998E-3,
,,,-49.79000005E-6,2.5199999E-3,,,,,-49.79000005E-6,-11.7999995E-3,
,,,-49.77999924E-6,2.5199999E-3,,,,,-49.77999924E-6,-11.5999999E-3,
,,,-49.76999844E-6,2.5199999E-3,,,,,-49.76999844E-6,-11.1999996E-3,
,,,-49.75999764E-6,2.5199999E-3,,,,,-49.75999764E-6,-10.4000000E-3,
,,,-49.75000047E-6,2.75999983E-3,,,,,-49.75000047E-6,-9.800000116E-3,
,,,-49.73999967E-6,2.83999997E-3,,,,,-49.73999967E-6,-9.800000116E-3,
,,,-49.72999886E-6,2.83999997E-3,,,,,-49.72999886E-6,-9.999999776E-3,
,,,-49.71999806E-6,2.75999983E-3,,,,,-49.71999806E-6,-10.4000000E-3,
,,,-49.70999726E-6,2.6399998E-3,,,,,-49.70999726E-6,-10.7999993E-3,
,,,-49.70000009E-6,2.6000000E-3,,,,,-49.70000009E-6,-10.9999999E-3,
,,,-49.68999929E-6,2.5599999E-3,,,,,-49.68999929E-6,-11.1999996E-3,
,,,-49.67999848E-6,2.5199999E-3,,,,,-49.67999848E-6,-10.7999993E-3,
,,,-49.66999768E-6,2.5199999E-3,,,,,-49.66999768E-6,-10.4000000E-3,
,,,-49.66000051E-6,2.5199999E-3,,,,,-49.66000051E-6,-9.999999776E-3,
,,,-49.64999971E-6,2.6000000E-3,,,,,-49.64999971E-6,-9.999999776E-3,
,,,-49.63999891E-6,2.6399998E-3,,,,,-49.63999891E-6,-10.1999994E-3,
,,,-49.62999810E-6,2.6799999E-3,,,,,-49.62999810E-6,-9.999999776E-3,
,,,-49.61999730E-6,2.71999999E-3,,,,,-49.61999730E-6,-9.599999525E-3,
,,,-49.61000013E-6,2.6399998E-3,,,,,-49.61000013E-6,-9.800000116E-3,
,,,-49.59999933E-6,2.4800000E-3,,,,,-49.59999933E-6,-9.599999525E-3,
,,,-49.58999853E-6,2.3200000E-3,,,,,-49.58999853E-6,-9.200000204E-3,
,,,-49.57999772E-6,2.2000000E-3,,,,,-49.57999772E-6,-9.200000204E-3,
,,,-49.57000056E-6,2.0800000E-3,,,,,-49.57000056E-6,-9.800000116E-3,
,,,-49.55999975E-6,2.1199998E-3,,,,,-49.55999975E-6,-10.4000000E-3,
,,,-49.54999895E-6,2.1599999E-3,,,,,-49.54999895E-6,-9.800000116E-3,
,,,-49.53999814E-6,2.2799999E-3,,,,,-49.53999814E-6,-9.800000116E-3,
,,,-49.52999734E-6,2.3600000E-3,,,,,-49.52999734E-6,-9.999999776E-3,
,,,-49.52000018E-6,2.4800000E-3,,,,,-49.52000018E-6,-9.800000116E-3,
,,,-49.50999937E-6,2.6399998E-3,,,,,-49.50999937E-6,-9.399999864E-3,
,,,-49.49999857E-6,2.6000000E-3,,,,,-49.49999857E-6,-9.599999525E-3,
,,,-49.48999776E-6,2.6000000E-3,,,,,-49.48999776E-6,-9.999999776E-3,
,,,-49.47999696E-6,2.5599999E-3,,,,,-49.47999696E-6,-10.1999994E-3,
