% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-3.656605E-7
-14.994000	-3.995374E-7
-14.988000	-3.234018E-7
-14.982000	-2.316665E-8
-14.976000	-1.076842E-7
-14.970000	-2.980232E-7
-14.964000	-6.787013E-7
-14.958000	-6.406335E-7
-14.952000	-4.841713E-7
-14.946000	-5.179318E-7
-14.940000	-4.249159E-7
-14.934000	-3.529713E-7
-14.928000	-3.360910E-7
-14.922000	-3.953464E-7
-14.916000	-2.388842E-7
-14.910000	-4.376052E-7
-14.904000	-3.741588E-7
-14.898000	-3.022142E-7
-14.892000	-4.122267E-7
-14.886000	-2.008164E-7
-14.880000	-2.895249E-7
-14.874000	-3.910391E-7
-14.868000	-4.925532E-7
-14.862000	-3.783498E-7
-14.856000	-2.303859E-7
-14.850000	-3.614696E-7
-14.844000	-2.980232E-7
-14.838000	-3.487803E-7
-14.832000	-3.614696E-7
-14.826000	-4.207250E-7
-14.820000	-2.472661E-7
-14.814000	-3.572786E-7
-14.808000	-3.234018E-7
-14.802000	1.071021E-8
-14.796000	-1.457520E-7
-14.790000	2.211891E-9
-14.784000	-1.457520E-7
-14.778000	-5.306210E-7
-14.772000	-5.222391E-7
-14.766000	-3.319001E-7
-14.760000	-3.319001E-7
-14.754000	-8.563511E-7
-14.748000	-5.898764E-7
-14.742000	-3.572786E-7
-14.736000	-1.669396E-7
-14.730000	-1.965091E-7
-14.724000	-3.402820E-7
-14.718000	-3.360910E-7
-14.712000	-3.826572E-7
-14.706000	-3.487803E-7
-14.700000	-3.487803E-7
-14.694000	-5.137408E-7
-14.688000	-4.417961E-7
-14.682000	-4.798640E-7
-14.676000	-4.544854E-7
-14.670000	-4.841713E-7
-14.664000	-6.067567E-7
-14.658000	-4.207250E-7
-14.652000	-5.095499E-7
-14.645500	-2.345769E-7
-14.639500	-3.192108E-7
-14.633500	-3.149034E-7
-14.627500	-2.684537E-7
-14.621500	2.211891E-9
-14.615500	-1.076842E-7
-14.609500	1.071021E-8
-14.603500	-2.768356E-7
-14.597500	-5.729962E-7
-14.591500	-4.925532E-7
-14.585500	-4.037283E-7
-14.579500	-3.953464E-7
-14.573500	-6.237533E-7
-14.567500	-5.644979E-7
-14.561500	-4.080357E-7
-14.555500	-1.881272E-7
-14.549500	-1.669396E-7
-14.543500	-1.796288E-7
-14.537500	-3.614696E-7
-14.531500	-3.699679E-7
-14.525500	-2.388842E-7
-14.519500	-2.557645E-7
-14.513500	-4.207250E-7
-14.507500	-6.364426E-7
-14.501500	-3.149034E-7
-14.495500	-3.572786E-7
-14.489500	-3.783498E-7
-14.483500	-5.137408E-7
-14.477500	-6.787013E-7
-14.471500	-5.306210E-7
-14.465500	-5.222391E-7
-14.459500	-2.303859E-7
-14.453500	-5.222391E-7
-14.447500	-3.741588E-7
