% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-3.868481E-7
-14.994000	-6.025657E-7
-14.988000	-5.559996E-7
-14.982000	-3.953464E-7
-14.976000	-5.052425E-7
-14.970000	-6.406335E-7
-14.964000	-7.844064E-7
-14.958000	-6.237533E-7
-14.952000	-5.729962E-7
-14.946000	-3.402820E-7
-14.940000	-3.402820E-7
-14.934000	-1.923181E-7
-14.928000	-3.995374E-7
-14.922000	-6.660121E-7
-14.916000	-5.729962E-7
-14.910000	-4.249159E-7
-14.904000	-5.052425E-7
-14.898000	-6.997725E-7
-14.892000	-4.629837E-7
-14.886000	-4.671747E-7
-14.880000	-5.391194E-7
-14.874000	-4.291069E-7
-14.868000	-3.910391E-7
-14.862000	-4.164176E-7
-14.856000	-3.445894E-7
-14.850000	-3.192108E-7
-14.844000	-4.249159E-7
-14.838000	-5.771872E-7
-14.832000	-3.572786E-7
-14.826000	-4.629837E-7
-14.820000	-2.895249E-7
-14.814000	-5.433103E-7
-14.808000	-5.559996E-7
-14.802000	-5.433103E-7
-14.796000	-3.360910E-7
-14.790000	-2.514571E-7
-14.784000	-8.393545E-7
-14.778000	-5.433103E-7
-14.772000	-5.771872E-7
-14.766000	-2.303859E-7
-14.760000	-2.853340E-7
-14.754000	-5.179318E-7
-14.748000	-5.052425E-7
-14.742000	-3.953464E-7
-14.736000	-4.291069E-7
-14.730000	-3.445894E-7
-14.724000	-3.783498E-7
-14.718000	-5.010515E-7
-14.712000	-3.868481E-7
-14.706000	-4.629837E-7
-14.700000	-4.502945E-7
-14.694000	-2.557645E-7
-14.688000	-4.376052E-7
-14.682000	-4.376052E-7
-14.676000	-4.376052E-7
-14.670000	-3.741588E-7
-14.664000	-4.671747E-7
-14.658000	-3.995374E-7
-14.652000	3.189780E-8
-14.645500	-5.010515E-7
-14.639500	-3.741588E-7
-14.633500	-5.052425E-7
-14.627500	-6.237533E-7
-14.621500	-4.037283E-7
-14.615500	-5.137408E-7
-14.609500	-3.614696E-7
-14.603500	-6.660121E-7
-14.597500	-4.629837E-7
-14.591500	-5.686888E-7
-14.585500	-3.022142E-7
-14.579500	-4.207250E-7
-14.573500	-3.741588E-7
-14.567500	-4.968606E-7
-14.561500	-2.735760E-8
-14.555500	-8.661300E-8
-14.549500	-9.080395E-8
-14.543500	-2.895249E-7
-14.537500	-6.955815E-7
-14.531500	-4.714821E-7
-14.525500	-4.376052E-7
-14.519500	-6.745104E-7
-14.513500	-2.387678E-7
-14.507500	-1.965091E-7
-14.501500	-4.334142E-7
-14.495500	-2.980232E-7
-14.489500	-2.641464E-7
-14.483500	-3.234018E-7
-14.477500	-3.275927E-7
-14.471500	-4.037283E-7
-14.465500	-2.133893E-7
-14.459500	-2.599554E-7
-14.453500	-2.895249E-7
-14.447500	-5.476177E-7
-14.441500	-5.137408E-7
