% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-1.796288E-7
-14.994000	-3.360910E-7
-14.988000	-4.798640E-7
-14.982000	-5.221227E-7
-14.976000	-4.122267E-7
-14.970000	-2.260786E-7
-14.964000	-4.840549E-7
-14.958000	-2.853340E-7
-14.952000	-3.656605E-7
-14.946000	-3.656605E-7
-14.940000	-2.091983E-7
-14.934000	-2.768356E-7
-14.928000	-4.079193E-7
-14.922000	-4.037283E-7
-14.916000	-2.735760E-8
-14.910000	-3.360910E-7
-14.904000	-5.692709E-8
-14.898000	-4.925532E-7
-14.892000	-4.798640E-7
-14.886000	-3.952300E-7
-14.880000	-3.656605E-7
-14.874000	-3.065215E-7
-14.868000	-4.925532E-7
-14.862000	-4.967442E-7
-14.856000	-4.037283E-7
-14.850000	-1.965091E-7
-14.844000	-2.345769E-7
-14.838000	-2.557645E-7
-14.832000	-3.614696E-7
-14.826000	-3.572786E-7
-14.820000	-1.923181E-7
-14.814000	-2.430752E-7
-14.808000	-4.459871E-7
-14.802000	-4.249159E-7
-14.796000	-4.037283E-7
-14.790000	-3.699679E-7
-14.784000	-3.192108E-7
-14.778000	-3.107125E-7
-14.772000	-2.472661E-7
-14.766000	-3.445894E-7
-14.760000	-2.218876E-7
-14.754000	-2.303859E-7
-14.748000	-3.360910E-7
-14.742000	-2.895249E-7
-14.736000	-7.811468E-8
-14.730000	-5.273614E-8
-14.724000	-8.649658E-8
-14.718000	-4.713656E-7
-14.712000	-6.152550E-7
-14.706000	-4.671747E-7
-14.700000	-2.980232E-7
-14.694000	-2.768356E-7
-14.688000	-5.348120E-7
-14.682000	-3.065215E-7
-14.676000	-3.868481E-7
-14.670000	-2.430752E-7
-14.664000	-2.218876E-7
-14.658000	-2.641464E-7
-14.652000	-4.164176E-7
-14.645500	-3.656605E-7
-14.639500	-2.472661E-7
-14.633500	-3.107125E-7
-14.627500	-3.868481E-7
-14.621500	-3.995374E-7
-14.615500	-3.868481E-7
-14.609500	-3.910391E-7
-14.603500	-3.529713E-7
-14.597500	-4.502945E-7
-14.591500	-5.898764E-7
-14.585500	-3.149034E-7
-14.579500	-2.387678E-7
-14.573500	-2.557645E-7
-14.567500	-2.514571E-7
-14.561500	-2.599554E-7
-14.555500	-2.735760E-8
-14.549500	1.071021E-8
-14.543500	-1.711305E-7
-14.537500	-1.669396E-7
-14.531500	-4.502945E-7
-14.525500	-4.671747E-7
-14.519500	-3.783498E-7
-14.513500	-4.079193E-7
-14.507500	-4.037283E-7
-14.501500	-6.575137E-7
-14.495500	-3.868481E-7
-14.489500	-3.656605E-7
-14.483500	-2.853340E-7
-14.477500	-1.034932E-7
-14.471500	-2.387678E-7
-14.465500	-2.768356E-7
-14.459500	-3.107125E-7
-14.453500	-1.457520E-7
-14.447500	-2.895249E-7
-14.441500	-3.192108E-7
