% Langmuir characteristic curve

% U (Volt)	I (A)
-13.733000	-2.316665E-8
-13.727000	-1.880107E-7
-13.721000	-4.207250E-7
-13.715000	-4.207250E-7
-13.709000	-2.684537E-7
-13.703000	-4.164176E-7
-13.697000	-2.980232E-7
-13.691000	-3.487803E-7
-13.685000	-4.249159E-7
-13.679000	-3.487803E-7
-13.673000	-1.415610E-7
-13.667000	-1.246808E-7
-13.661000	-1.457520E-7
-13.655000	-2.557645E-7
-13.649000	-2.303859E-7
-13.643000	-1.542503E-7
-13.637000	-1.161825E-7
-13.631000	-3.826572E-7
-13.625000	-4.249159E-7
-13.619000	-2.811430E-7
-13.613000	-3.022142E-7
-13.607000	-3.065215E-7
-13.601000	-3.402820E-7
-13.595000	-2.050074E-7
-13.589000	-2.599554E-7
-13.583000	-6.123446E-8
-13.577000	-2.387678E-7
-13.571000	-1.330627E-7
-13.565000	-2.007000E-7
-13.559000	-2.811430E-7
-13.553000	-6.170012E-9
-13.547000	-2.599554E-7
-13.541000	-4.004687E-8
-13.535000	-4.756730E-7
-13.529000	-4.417961E-7
-13.523000	-3.656605E-7
-13.517000	-3.783498E-7
-13.511000	-3.995374E-7
-13.505000	-5.771872E-7
-13.499000	-5.686888E-7
-13.493000	-2.557645E-7
-13.487000	-2.735760E-8
-13.481000	-1.076842E-7
-13.475000	-2.091983E-7
-13.469000	-2.387678E-7
-13.463000	-3.319001E-7
-13.457000	-1.754379E-7
-13.451000	-1.246808E-7
-13.445000	-3.487803E-7
-13.439000	-5.052425E-7
-13.433000	-3.826572E-7
-13.427000	-3.275927E-7
-13.421000	-2.726447E-7
-13.415000	-2.726447E-7
-13.409000	-3.360910E-7
-13.403000	-5.349284E-7
-13.397000	-1.457520E-7
-13.391000	-1.965091E-7
-13.385000	-4.164176E-7
-13.379000	-2.641464E-7
-13.373000	-1.457520E-7
-13.367000	-1.627486E-7
-13.361000	-1.885928E-8
-13.355000	-4.968606E-7
-13.349000	-4.164176E-7
-13.343000	-2.345769E-7
-13.337000	-3.234018E-7
-13.331000	-2.726447E-7
-13.325000	-5.010515E-7
-13.319000	-5.729962E-7
-13.313000	-1.880107E-7
-13.307000	-1.034932E-7
-13.301000	-1.584413E-7
-13.295000	-9.080395E-8
-13.289000	-2.303859E-7
-13.283000	-3.656605E-7
-13.277000	-1.584413E-7
-13.271000	-2.007000E-7
-13.265000	-3.699679E-7
-13.258500	-3.699679E-7
-13.252500	-2.684537E-7
-13.246500	-2.768356E-7
-13.240500	-3.234018E-7
-13.234500	-3.741588E-7
-13.228500	-2.387678E-7
-13.222500	-4.334142E-7
-13.216500	-9.499490E-8
-13.210500	-1.203734E-7
-13.204500	-2.218876E-7
-13.198500	-2.176967E-7
-13.192500	-1.330627E-7
-13.186500	-1.838198E-7
-13.180500	-1.754379E-7
-13.174500	-4.249159E-7
-13.168500	-4.714821E-7
-13.162500	-4.164176E-7
-13.156500	-3.319001E-7
-13.150500	-3.995374E-7
-13.144500	-4.841713E-7
-13.138500	-4.756730E-7
-13.132500	-4.925532E-7
-13.126500	-1.880107E-7
-13.120500	-1.466833E-8
-13.114500	-1.796288E-7
-13.108500	-2.514571E-7
-13.102500	-2.387678E-7
-13.096500	-3.319001E-7
-13.090500	-1.965091E-7
-13.084500	-2.345769E-7
-13.078500	-5.813781E-7
-13.072500	-4.502945E-7
-13.066500	-2.684537E-7
-13.060500	-2.768356E-7
-13.054500	-1.965091E-7
-13.048500	-2.472661E-7
-13.042500	-3.487803E-7
-13.036500	-3.107125E-7
-13.030500	-1.457520E-7
-13.024500	-1.965091E-7
-13.018500	-1.669396E-7
-13.012500	-1.246808E-7
-13.006500	1.164153E-7
-13.000500	-1.885928E-8
-12.994500	-2.050074E-7
-12.988500	-4.629837E-7
-12.982500	-4.207250E-7
-12.976500	-3.614696E-7
-12.970500	-2.726447E-7
-12.964500	-3.868481E-7
-12.958500	-3.953464E-7
-12.952500	-4.925532E-7
-12.946500	-3.192108E-7
-12.940500	-1.965091E-7
-12.934500	-1.203734E-7
-12.928500	-3.445894E-7
-12.922500	-2.133893E-7
-12.916500	-3.826572E-7
-12.910500	-2.853340E-7
-12.904500	-2.430752E-7
-12.898500	-3.910391E-7
-12.892500	-3.995374E-7
-12.886500	-3.065215E-7
-12.880500	-1.669396E-7
-12.874500	-3.953464E-7
-12.868500	-2.938323E-7
-12.862500	-3.826572E-7
-12.856500	-2.303859E-7
-12.850500	-1.542503E-7
-12.844500	-2.303859E-7
-12.838500	-2.007000E-7
-12.832500	-1.034932E-7
-12.826500	-2.735760E-8
-12.820500	-6.542541E-8
-12.814500	-1.288718E-7
-12.808500	-4.925532E-7
-12.802500	-4.207250E-7
-12.796500	-4.291069E-7
-12.790500	-3.656605E-7
-12.784500	-1.711305E-7
-12.778500	-3.107125E-7
-12.772500	-3.741588E-7
-12.766500	-6.961636E-8
-12.760500	-9.930227E-8
-12.754500	-2.303859E-7
-12.748500	-2.684537E-7
-12.742500	-2.303859E-7
-12.736500	-2.303859E-7
-12.730500	-2.430752E-7
-12.724500	-7.392373E-8
-12.718500	-3.995374E-7
-12.712500	-5.898764E-7
-12.706500	-3.572786E-7
-12.700500	-2.387678E-7
-12.694500	-2.599554E-7
-12.688500	-3.741588E-7
-12.682500	-3.868481E-7
-12.676500	-3.234018E-7
-12.670500	-9.080395E-8
-12.664500	-1.288718E-7
-12.658500	-5.273614E-8
-12.652500	-2.133893E-7
-12.646500	-3.572786E-7
-12.640500	-1.457520E-7
-12.634500	-8.230563E-8
-12.628500	-3.445894E-7
-12.622500	-3.868481E-7
-12.616500	-4.376052E-7
-12.610500	-3.995374E-7
-12.604500	-3.319001E-7
-12.598500	-2.853340E-7
-12.592500	-3.741588E-7
-12.586500	-3.107125E-7
-12.580500	-2.557645E-7
-12.574500	-1.584413E-7
-12.568000	-1.880107E-7
-12.562000	-1.965091E-7
-12.556000	-3.360910E-7
-12.550000	-3.445894E-7
-12.544000	-1.923181E-7
-12.538000	-2.050074E-7
-12.532000	-3.275927E-7
-12.526000	-2.430752E-7
-12.520000	-1.669396E-7
-12.514000	-2.430752E-7
-12.508000	-2.853340E-7
-12.502000	-4.461035E-7
-12.496000	-4.502945E-7
